Variable,N,Mean,Median,Std Dev,CV (%),Min,Max,IQR,Skewness,Ex. Kurtosis
IP (nA),271,1.21439,1.26412,0.15542,12.8,0.66148,1.34482,0.07107,-2.0771,3.1231
X (µm),271,-469.7048,-524.0,2551.2757,-543.17,-5010.0,4628.0,4465.0,0.087,-1.1387
Y (µm),271,-1224.19557,-1416.0,1937.99044,-158.31,-4730.0,4182.0,2631.5,0.5395,-0.1979
DTFX (V),271,-22.04428,-23.0,20.36368,-92.38,-59.0,8.0,39.0,-0.1306,-1.4431
DTFY (V),271,-24.39114,-23.0,16.38795,-67.19,-51.0,22.0,27.0,0.3711,-0.4824
$^{16}$O$^{1}$H/$^{16}$O,271,0.00089,0.00068,0.0005,56.91,0.0002,0.00254,0.00074,0.7117,-0.1595
MgCO₃ (mol%),271,30.59974,33.9,13.44663,43.94,9.66,49.8,18.1,-0.2965,-1.3158
CaCO₃ (mol%),271,51.67668,51.64,0.598,1.16,50.1,52.67,0.54,-0.7151,0.4635
MnCO₃ (mol%),271,1.22421,1.24,0.87309,71.32,0.0,2.61,1.47,0.2163,-1.1362
FeCO₃ (mol%),271,16.49325,13.6,12.51513,75.88,0.2,36.09,17.2,0.3371,-1.3155
IMF (‰),271,-5.5163,-4.81656,3.7515,-68.01,-13.74047,-0.54861,3.44962,-0.8102,-0.3969
