,PC1,PC2,PC3,PC4,PC5
IP (nA),0.2927,0.4198,0.0066,0.0624,-0.3787
X (µm),0.0053,0.0674,0.6356,-0.2324,0.6456
Y (µm),-0.0219,-0.3095,0.5593,-0.1085,-0.5982
DTFX (V),-0.2673,-0.3857,-0.0526,0.5417,0.1634
DTFY (V),-0.4046,-0.2916,0.2134,0.2494,-0.1432
$^{16}$O$^{1}$H/$^{16}$O,-0.1442,0.4194,0.0031,0.5791,0.0674
MgCO₃ (mol%),0.4653,-0.2356,0.007,0.2013,0.1063
CaCO₃ (mol%),-0.1868,-0.3333,-0.4841,-0.382,0.0691
MnCO₃ (mol%),-0.4409,0.2923,0.0171,-0.1312,0.0031
FeCO₃ (mol%),-0.4605,0.2485,0.0139,-0.1887,-0.1186
